,chords,genres,artist_name,length,song_length
0,"['Cmaj', 'G9', 'C9', 'C7', 'Fmaj', 'Fmin7', 'Cmaj', 'Gmin7', 'A7', 'D9', 'G9', 'Emin7', 'G7', 'Cmaj', 'Amin7', 'Emin7', 'Fmaj7', 'F7', 'Cmaj', 'C7', 'Fmaj', 'Fmin7', 'Cmaj', 'A7', 'D7', 'G7', 'Cmaj', 'G7']",Jazz,Nan,28,28
1,"['D#maj', 'A#7', 'D#maj', 'Gmin', 'D#maj', 'A#7', 'D#maj', 'B7', 'A#7', 'D#maj', 'A#7', 'D#maj', 'D#7', 'Gmaj', 'D7', 'Gmaj', 'A#7', 'D#7', 'D7', 'G7', 'Gdim', 'Gmaj', 'D7', 'Gmaj', 'Cmaj', 'Emin', 'C7', 'Fmaj', 'A7', 'Dmin', 'Dhdim', 'Cmaj', 'C7', 'B7', 'E7', 'G7', 'Cmaj', 'Emin', 'C7', 'Fmaj', 'Emaj', 'Fmaj', 'F#dim', 'Cmaj', 'A7', 'D7', 'G7', 'Cmaj', 'Gmaj', 'D7', 'Gmaj', 'Cmaj', 'Emin', 'C7', 'Fmaj', 'A7', 'Dmin', 'Dhdim', 'Cmaj', 'C7', 'B7', 'E7', 'G7', 'Cmaj', 'Emin', 'C7', 'Fmaj', 'Emaj', 'Fmaj', 'F#dim', 'Cmaj', 'A7', 'D7', 'G7', 'Cmaj', 'Gmaj', 'D7', 'Gmaj', 'Cmaj', 'Emin', 'C7', 'Fmaj', 'A7', 'Dmin', 'Dhdim', 'Cmaj', 'C7', 'B7', 'E7', 'G7', 'Cmaj', 'Emin', 'C7', 'Fmaj', 'Emaj', 'Fmaj', 'F#dim', 'Cmaj', 'A7', 'D7', 'G7', 'Cmaj', 'Gmaj', 'D7', 'Gmaj']",Jazz,Nan,105,105
2,"['Cmaj7', 'Dmin7', 'Emin7', 'Dmin7', 'Cmaj7', 'Dmin7', 'Emin7', 'Dmin7', 'Cmaj', 'Amin7', 'Dmin7', 'G7', 'Cmaj', 'Amin7', 'Dmin7', 'G7', 'Cmaj', 'Amin7', 'D9', 'G7', 'Cmaj', 'A7', 'Dmin7', 'G7', 'Cmaj', 'Amin7', 'Dmin7', 'G7', 'Cmaj', 'Amin7', 'Dmin7', 'G7', 'Cmaj', 'Amin7', 'Dmin7', 'G7', 'Cmaj', 'Dmin7', 'D#dim', 'Cmaj', 'Dmin7', 'G7', 'Cmaj', 'C#dim', 'Dmin7', 'G7', 'Cmaj', 'Bhdim', 'E7', 'Amin7', 'D9', 'G7', 'G9', 'Cmaj', 'Amin7', 'Dmin7', 'G7', 'Cmaj', 'Amin7', 'Dmin7', 'G7', 'Cmaj', 'Amin7', 'D9', 'G7', 'Cmaj', 'D#dim', 'Dmin7', 'G7', 'G9']",Jazz,Nan,70,70
3,"['Cmaj7', 'Amin7', 'Dmin7', 'Gmaj', 'Cmaj7', 'Amin7', 'Dmin7', 'Gmaj', 'Cmaj7', 'Bhdim', 'E7', 'Amin7', 'Gmin7', 'C9', 'Fmaj7', 'A#7', 'Cmaj7', 'Amin7', 'D7', 'Dmin7', 'Gmaj', 'Cmaj7', 'Bhdim', 'E7', 'Amin7', 'Gmin7', 'C9', 'Fmaj7', 'A#7', 'Cmaj7', 'D9', 'D#dim', 'Emin7', 'F9', 'Emin7', 'A7', 'Dmin7', 'Gmaj', 'Cmaj6', 'A#9', 'C6']",Jazz,Nan,41,41
4,"['Cmaj', 'Caug', 'Cmaj6', 'Cmaj', 'Fmaj', 'Cmaj', 'G7', 'Cmaj', 'Fmaj', 'Cmaj', 'Caug', 'Cmaj6', 'Cmaj', 'Fmaj', 'Cmaj', 'G7', 'Cmaj', 'Fmaj', 'Cmaj', 'G7', 'Cmaj', 'G7', 'Cmaj', 'Fmaj', 'Fmin', 'Cmaj', 'D#dim', 'Cmaj', 'G7', 'Cmaj']",Jazz,Nan,30,30
5,"['Cmaj7', 'F7', 'E7', 'A7', 'D7', 'G7', 'Cmaj', 'Emin7', 'A7', 'D#min7', 'G#min7', 'Dmin7', 'G7', 'Cmaj7', 'F7', 'E7', 'A7', 'D7', 'Cmaj6', 'D7', 'G7', 'C7', 'Fmin7', 'A#7', 'D#maj7', 'D#7', 'D#min7', 'G#7', 'C#maj7', 'C#7', 'Cmaj7', 'F7', 'E7', 'A7', 'D7', 'Cmaj6', 'Dmin7', 'G7']",Jazz,Nan,38,38
6,"['Cmaj', 'Fmaj7', 'Cmin', 'Fmaj7', 'C7', 'Fmaj', 'Cmaj', 'Fsus4', 'Fmaj7', 'F7', 'D#maj', 'Cmaj', 'Fsus4', 'Cmaj', 'Fmaj7', 'G7', 'Gsus4', 'Fmaj', 'C7', 'Fmaj7', 'C7', 'Cmaj', 'Fsus4', 'Cmaj', 'Fmaj', 'C7', 'Cmaj', 'Fsus4', 'Fmaj7', 'Fmaj', 'D#maj', 'C7', 'F7', 'C7', 'G7', 'F7', 'C7', 'Fsus4', 'C7', 'Cmaj', 'Fmaj', 'Cmaj', 'Fsus4', 'C7', 'Fsus4', 'Cmaj', 'Fsus4', 'F7', 'D#maj', 'C7', 'Cmaj7', 'Fmaj7', 'G7', 'Fsus4', 'Cmaj', 'Fmaj7', 'C7', 'Cmaj', 'Fmaj', 'Cmaj', 'C7', 'Fsus4', 'Cmaj', 'Fsus4', 'F7', 'A#sus4', 'F7', 'A#maj6', 'Cmaj', 'Fsus4', 'Cmaj7', 'Fmaj7', 'G7', 'Dmin7', 'Fmaj', 'C7', 'Gmin6', 'C7', 'Fsus4', 'C7', 'Cmaj', 'C7', 'Fsus4', 'F7', 'A#sus4', 'Cmaj', 'Fmaj7', 'Cmaj', 'Fsus4', 'G7', 'Dmin7', 'F7', 'Cmaj7', 'Fmaj7', 'C7', 'Cmaj6', 'Fsus4', 'C7', 'Fmaj7', 'Cmaj7', 'Fsus4', 'F7', 'A#maj', 'Fmaj7', 'A#sus4', 'C7', 'Fmaj7', 'Cmaj7', 'Fsus4', 'G7', 'Fmaj', 'A#sus4', 'C7', 'G7', 'C7', 'Fmaj', 'C7', 'Cmaj7', 'D#maj', 'F7', 'C7', 'D#maj', 'G7', 'Fmaj', 'C7', 'Fsus4', 'C7', 'Cmaj', 'Fmaj', 'Cmaj', 'C7', 'Fsus4', 'Cmaj', 'Fmaj7', 'F7', 'Fsus4', 'C7', 'Cmaj7', 'Fmaj7', 'Gmin7', 'F7', 'Fsus4', 'A#sus4', 'C7', 'Cmaj7']",Jazz,Nan,145,145
7,"['Ahdim', 'D7', 'G#9', 'Gmin7', 'Fmin7', 'A#9', 'D#maj6', 'Cmin7', 'F9', 'A#maj7', 'Ahdim', 'G#9', 'Gmin7', 'A#9', 'Ehdim', 'D7', 'Gmin', 'Ahdim', 'D7', 'G#9', 'Gmin7', 'Fmin7', 'A#9', 'D#maj6', 'Cmin7', 'F9', 'A#maj7', 'Ahdim', 'G#9', 'Gmin7', 'A#9', 'Ehdim', 'D7', 'Gmin', 'E7', 'A7', 'Dmin7', 'Bhdim', 'Ehdim', 'A7', 'Dmin7', 'Ahdim', 'G#9', 'Gmin7', 'A#9', 'Ehdim', 'D7', 'Gmin', 'Ahdim', 'D7', 'G#9', 'Gmin7', 'Fmin7', 'A#9', 'D#maj6', 'Cmin7', 'F9', 'A#maj7', 'Ahdim', 'G#9', 'Gmin7', 'A#9', 'Ehdim', 'D7', 'Gmin']",Jazz,Nan,65,65
8,"['Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'G#maj', 'Gmin', 'Cmin', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'G#maj', 'Gmin', 'Cmin', 'Cmin7', 'Gmin7', 'A#min', 'Cmin', 'Cmin7', 'Gmin7', 'A#min', 'Cmin', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'G#maj', 'Gmin', 'Cmin', 'Cmin7', 'Gmin7', 'A#min', 'Cmin', 'Cmin7', 'Gmin7', 'A#min', 'Cmin', 'Cmin7', 'Gmin7', 'A#min', 'Cmin', 'Cmin7', 'Gmin7', 'A#min', 'Cmin', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin', 'G#maj', 'Cmin', 'Cmin7', 'Gmin7', 'A#min', 'Cmin', 'Cmin7', 'Gmin7', 'A#min', 'Cmin', 'Cmin7', 'Gmin7', 'A#min', 'Cmin', 'Cmin7', 'Gmin7', 'A#min', 'Cmin', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7', 'Fmin7', 'Gmin7']",Jazz,Nan,132,132
9,"['Cmaj6', 'D#dim', 'Dmin7', 'C#maj6', 'Cmaj7', 'A#7', 'Cmaj7', 'A#7', 'Cmaj7', 'A#7', 'Cmaj7', 'A#7', 'Cmaj7', 'A#7', 'Cmaj7', 'A#7', 'Cmaj7', 'A#7', 'Cmaj7', 'Gmin7', 'C7', 'Fmaj7', 'A#7', 'Cmaj7', 'Dmin7', 'Emin7', 'Dmin7', 'Cmaj7', 'E7', 'A7', 'Dmin7', 'Emin7', 'Fmaj7', 'Gsus4', 'Cmaj7', 'F#hdim', 'B7', 'Emaj7', 'D7', 'Emaj7', 'D7', 'Emaj7', 'D7', 'Emaj7', 'D7', 'Emaj7', 'D7', 'Emaj7', 'D7', 'Emaj7', 'D7', 'Emaj7', 'Bmin7', 'E7', 'Amaj7', 'D7', 'Amaj7', 'F#min7', 'G#min7', 'F#min7', 'Emaj7', 'G#7', 'C#7', 'F#min7', 'G#min7', 'Amaj7', 'Bsus4', 'Emaj7', 'Emin7', 'Amaj6', 'Emin7', 'A7', 'G#min7', 'C#7', 'F#min7', 'Bsus4', 'Emaj7', 'Emin7', 'Amaj6', 'Emin7', 'A7', 'G#min7', 'Gmin', 'C7', 'B7', 'Emaj7', 'D7', 'Emaj7', 'D7', 'Emaj7', 'D7', 'Emaj7', 'D7', 'Emaj7', 'D7', 'Emaj7', 'D7', 'Emaj7', 'D7', 'Emaj7', 'Bmin7', 'E7', 'Amaj7', 'D7', 'Emaj7', 'F#min7', 'G#min7', 'F#min7', 'Emaj7', 'G#7', 'C#7', 'F#min7', 'G#min7', 'Amaj7', 'Bsus4', 'Emaj7', 'Dmin7', 'G7']",Jazz,Nan,118,118
